"Catalog Code","Name","Color"
"0","BYBLOCK","0x000000"
"1","red","0xff0000"
"2","yellow","0xffff00"
"3","green","0x00ff00"
"4","cyan","0x00ffff"
"5","blue","0x0000ff"
"6","magenta","0xff00ff"
"7","white","0xffffff"
"8","darkgray","0x808080"
"9","lightgray","0xc0c0c0"
"10","unknown","0xff0000"
"11","unknown","0xff7f7f"
"12","unknown","0xcc0000"
"13","unknown","0xcc6666"
"14","unknown","0x990000"
"15","unknown","0x994c4c"
"16","unknown","0x7f0000"
"17","unknown","0x7f3f3f"
"18","unknown","0x4c0000"
"19","unknown","0x4c2626"
"20","unknown","0xff3f00"
"21","unknown","0xff9f7f"
"22","unknown","0xcc3300"
"23","unknown","0xcc7f66"
"24","unknown","0x992600"
"25","unknown","0x995f4c"
"26","unknown","0x7f1f00"
"27","unknown","0x7f4f3f"
"28","unknown","0x4c1300"
"29","unknown","0x4c2f26"
"30","unknown","0xff7f00"
"31","unknown","0xffbf7f"
"32","unknown","0xcc6600"
"33","unknown","0xcc9966"
"34","unknown","0x994c00"
"35","unknown","0x99724c"
"36","unknown","0x7f3f00"
"37","unknown","0x7f5f3f"
"38","unknown","0x4c2600"
"39","unknown","0x4c3926"
"40","unknown","0xffbf00"
"41","unknown","0xffdf7f"
"42","unknown","0xcc9900"
"43","unknown","0xccb266"
"44","unknown","0x997200"
"45","unknown","0x99854c"
"46","unknown","0x7f5f00"
"47","unknown","0x7f6f3f"
"48","unknown","0x4c3900"
"49","unknown","0x4c4226"
"50","unknown","0xffff00"
"51","unknown","0xffff7f"
"52","unknown","0xcccc00"
"53","unknown","0xcccc66"
"54","unknown","0x999900"
"55","unknown","0x99994c"
"56","unknown","0x7f7f00"
"57","unknown","0x7f7f3f"
"58","unknown","0x4c4c00"
"59","unknown","0x4c4c26"
"60","unknown","0xbfff00"
"61","unknown","0xdfff7f"
"62","unknown","0x99cc00"
"63","unknown","0xb2cc66"
"64","unknown","0x729900"
"65","unknown","0x85994c"
"66","unknown","0x5f7f00"
"67","unknown","0x6f7f3f"
"68","unknown","0x394c00"
"69","unknown","0x424c26"
"70","unknown","0x7fff00"
"71","unknown","0xbfff7f"
"72","unknown","0x66cc00"
"73","unknown","0x99cc66"
"74","unknown","0x4c9900"
"75","unknown","0x72994c"
"76","unknown","0x3f7f00"
"77","unknown","0x5f7f3f"
"78","unknown","0x264c00"
"79","unknown","0x394c26"
"80","unknown","0x3fff00"
"81","unknown","0x9fff7f"
"82","unknown","0x33cc00"
"83","unknown","0x7fcc66"
"84","unknown","0x269900"
"85","unknown","0x5f994c"
"86","unknown","0x1f7f00"
"87","unknown","0x4f7f3f"
"88","unknown","0x134c00"
"89","unknown","0x2f4c26"
"90","unknown","0x00ff00"
"91","unknown","0x7fff7f"
"92","unknown","0x00cc00"
"93","unknown","0x66cc66"
"94","unknown","0x009900"
"95","unknown","0x4c994c"
"96","unknown","0x007f00"
"97","unknown","0x3f7f3f"
"98","unknown","0x004c00"
"99","unknown","0x264c26"
"100","unknown","0x00ff3f"
"101","unknown","0x7fff9f"
"102","unknown","0x00cc33"
"103","unknown","0x66cc7f"
"104","unknown","0x009926"
"105","unknown","0x4c995f"
"106","unknown","0x007f1f"
"107","unknown","0x3f7f4f"
"108","unknown","0x004c13"
"109","unknown","0x264c2f"
"110","unknown","0x00ff7f"
"111","unknown","0x7fffbf"
"112","unknown","0x00cc66"
"113","unknown","0x66cc99"
"114","unknown","0x00994c"
"115","unknown","0x4c9972"
"116","unknown","0x007f3f"
"117","unknown","0x3f7f5f"
"118","unknown","0x004c26"
"119","unknown","0x264c39"
"120","unknown","0x00ffbf"
"121","unknown","0x7fffdf"
"122","unknown","0x00cc99"
"123","unknown","0x66ccb2"
"124","unknown","0x009972"
"125","unknown","0x4c9985"
"126","unknown","0x007f5f"
"127","unknown","0x3f7f6f"
"128","unknown","0x004c39"
"129","unknown","0x264c42"
"130","unknown","0x00ffff"
"131","unknown","0x7fffff"
"132","unknown","0x00cccc"
"133","unknown","0x66cccc"
"134","unknown","0x009999"
"135","unknown","0x4c9999"
"136","unknown","0x007f7f"
"137","unknown","0x3f7f7f"
"138","unknown","0x004c4c"
"139","unknown","0x264c4c"
"140","unknown","0x00bfff"
"141","unknown","0x7fdfff"
"142","unknown","0x0099cc"
"143","unknown","0x66b2cc"
"144","unknown","0x007299"
"145","unknown","0x4c8599"
"146","unknown","0x005f7f"
"147","unknown","0x3f6f7f"
"148","unknown","0x00394c"
"149","unknown","0x26424c"
"150","unknown","0x007fff"
"151","unknown","0x7fbfff"
"152","unknown","0x0066cc"
"153","unknown","0x6699cc"
"154","unknown","0x004c99"
"155","unknown","0x4c7299"
"156","unknown","0x003f7f"
"157","unknown","0x3f5f7f"
"158","unknown","0x00264c"
"159","unknown","0x26394c"
"160","unknown","0x003fff"
"161","unknown","0x7f9fff"
"162","unknown","0x0033cc"
"163","unknown","0x667fcc"
"164","unknown","0x002699"
"165","unknown","0x4c5f99"
"166","unknown","0x001f7f"
"167","unknown","0x3f4f7f"
"168","unknown","0x00134c"
"169","unknown","0x262f4c"
"170","unknown","0x0000ff"
"171","unknown","0x7f7fff"
"172","unknown","0x0000cc"
"173","unknown","0x6666cc"
"174","unknown","0x000099"
"175","unknown","0x4c4c99"
"176","unknown","0x00007f"
"177","unknown","0x3f3f7f"
"178","unknown","0x00004c"
"179","unknown","0x26264c"
"180","unknown","0x3f00ff"
"181","unknown","0x9f7fff"
"182","unknown","0x3300cc"
"183","unknown","0x7f66cc"
"184","unknown","0x260099"
"185","unknown","0x5f4c99"
"186","unknown","0x1f007f"
"187","unknown","0x4f3f7f"
"188","unknown","0x13004c"
"189","unknown","0x2f264c"
"190","unknown","0x7f00ff"
"191","unknown","0xbf7fff"
"192","unknown","0x6600cc"
"193","unknown","0x9966cc"
"194","unknown","0x4c0099"
"195","unknown","0x724c99"
"196","unknown","0x3f007f"
"197","unknown","0x5f3f7f"
"198","unknown","0x26004c"
"199","unknown","0x39264c"
"200","unknown","0xbf00ff"
"201","unknown","0xdf7fff"
"202","unknown","0x9900cc"
"203","unknown","0xb266cc"
"204","unknown","0x720099"
"205","unknown","0x854c99"
"206","unknown","0x5f007f"
"207","unknown","0x6f3f7f"
"208","unknown","0x39004c"
"209","unknown","0x42264c"
"210","unknown","0xff00ff"
"211","unknown","0xff7fff"
"212","unknown","0xcc00cc"
"213","unknown","0xcc66cc"
"214","unknown","0x990099"
"215","unknown","0x994c99"
"216","unknown","0x7f007f"
"217","unknown","0x7f3f7f"
"218","unknown","0x4c004c"
"219","unknown","0x4c264c"
"220","unknown","0xff00bf"
"221","unknown","0xff7fdf"
"222","unknown","0xcc0099"
"223","unknown","0xcc66b2"
"224","unknown","0x990072"
"225","unknown","0x994c85"
"226","unknown","0x7f005f"
"227","unknown","0x7f3f6f"
"228","unknown","0x4c0039"
"229","unknown","0x4c2642"
"230","unknown","0xff007f"
"231","unknown","0xff7fbf"
"232","unknown","0xcc0066"
"233","unknown","0xcc6699"
"234","unknown","0x99004c"
"235","unknown","0x994c72"
"236","unknown","0x7f003f"
"237","unknown","0x7f3f5f"
"238","unknown","0x4c0026"
"239","unknown","0x4c2639"
"240","unknown","0xff003f"
"241","unknown","0xff7f9f"
"242","unknown","0xcc0033"
"243","unknown","0xcc667f"
"244","unknown","0x990026"
"245","unknown","0x994c5f"
"246","unknown","0x7f001f"
"247","unknown","0x7f3f4f"
"248","unknown","0x4c0013"
"249","unknown","0x4c262f"
"250","unknown","0x333333"
"251","unknown","0x5b5b5b"
"252","unknown","0x848484"
"253","unknown","0xadadad"
"254","unknown","0xd6d6d6"
"255","unknown","0xffffff"
"256","BYLAYER","0x000000"
