red, green, blue, index, label
  0,   0,   0,   0, "BYBLOCK"
255,   0,   0,   1, "red"
255, 255,   0,   2, "yellow"
  0, 255,   0,   3, "green"
  0, 255, 255,   4, "cyan"
  0,   0, 255,   5, "blue"
255,   0, 255,   6, "magenta"
255, 255, 255,   7, "white"
128, 128, 128,   8, "dark gray"
192, 192, 192,   9, "light gray"
255,   0,   0,  10, "unknown"
255, 127, 127,  11, "unknown"
204,   0,   0,  12, "unknown"
204, 102, 102,  13, "unknown"
153,   0,   0,  14, "unknown"
153,  76,  76,  15, "unknown"
127,   0,   0,  16, "unknown"
127,  63,  63,  17, "unknown"
 76,   0,   0,  18, "unknown"
 76,  38,  38,  19, "unknown"
255,  63,   0,  20, "unknown"
255, 159, 127,  21, "unknown"
204,  51,   0,  22, "unknown"
204, 127, 102,  23, "unknown"
153,  38,   0,  24, "unknown"
153,  95,  76,  25, "unknown"
127,  31,   0,  26, "unknown"
127,  79,  63,  27, "unknown"
 76,  19,   0,  28, "unknown"
 76,  47,  38,  29, "unknown"
255, 127,   0,  30, "unknown"
255, 191, 127,  31, "unknown"
204, 102,   0,  32, "unknown"
204, 153, 102,  33, "unknown"
153,  76,   0,  34, "unknown"
153, 114,  76,  35, "unknown"
127,  63,   0,  36, "unknown"
127,  95,  63,  37, "unknown"
 76,  38,   0,  38, "unknown"
 76,  57,  38,  39, "unknown"
255, 191,   0,  40, "unknown"
255, 223, 127,  41, "unknown"
204, 153,   0,  42, "unknown"
204, 178, 102,  43, "unknown"
153, 114,   0,  44, "unknown"
153, 133,  76,  45, "unknown"
127,  95,   0,  46, "unknown"
127, 111,  63,  47, "unknown"
 76,  57,   0,  48, "unknown"
 76,  66,  38,  49, "unknown"
255, 255,   0,  50, "unknown"
255, 255, 127,  51, "unknown"
204, 204,   0,  52, "unknown"
204, 204, 102,  53, "unknown"
153, 153,   0,  54, "unknown"
153, 153,  76,  55, "unknown"
127, 127,   0,  56, "unknown"
127, 127,  63,  57, "unknown"
 76,  76,   0,  58, "unknown"
 76,  76,  38,  59, "unknown"
191, 255,   0,  60, "unknown"
223, 255, 127,  61, "unknown"
153, 204,   0,  62, "unknown"
178, 204, 102,  63, "unknown"
114, 153,   0,  64, "unknown"
133, 153,  76,  65, "unknown"
 95, 127,   0,  66, "unknown"
111, 127,  63,  67, "unknown"
 57,  76,   0,  68, "unknown"
 66,  76,  38,  69, "unknown"
127, 255,   0,  70, "unknown"
191, 255, 127,  71, "unknown"
102, 204,   0,  72, "unknown"
153, 204, 102,  73, "unknown"
 76, 153,   0,  74, "unknown"
114, 153,  76,  75, "unknown"
 63, 127,   0,  76, "unknown"
 95, 127,  63,  77, "unknown"
 38,  76,   0,  78, "unknown"
 57,  76,  38,  79, "unknown"
 63, 255,   0,  80, "unknown"
159, 255, 127,  81, "unknown"
 51, 204,   0,  82, "unknown"
127, 204, 102,  83, "unknown"
 38, 153,   0,  84, "unknown"
 95, 153,  76,  85, "unknown"
 31, 127,   0,  86, "unknown"
 79, 127,  63,  87, "unknown"
 19,  76,   0,  88, "unknown"
 47,  76,  38,  89, "unknown"
  0, 255,   0,  90, "unknown"
127, 255, 127,  91, "unknown"
  0, 204,   0,  92, "unknown"
102, 204, 102,  93, "unknown"
  0, 153,   0,  94, "unknown"
 76, 153,  76,  95, "unknown"
  0, 127,   0,  96, "unknown"
 63, 127,  63,  97, "unknown"
  0,  76,   0,  98, "unknown"
 38,  76,  38,  99, "unknown"
  0, 255,  63, 100, "unknown"
127, 255, 159, 101, "unknown"
  0, 204,  51, 102, "unknown"
102, 204, 127, 103, "unknown"
  0, 153,  38, 104, "unknown"
 76, 153,  95, 105, "unknown"
  0, 127,  31, 106, "unknown"
 63, 127,  79, 107, "unknown"
  0,  76,  19, 108, "unknown"
 38,  76,  47, 109, "unknown"
  0, 255, 127, 110, "unknown"
127, 255, 191, 111, "unknown"
  0, 204, 102, 112, "unknown"
102, 204, 153, 113, "unknown"
  0, 153,  76, 114, "unknown"
 76, 153, 114, 115, "unknown"
  0, 127,  63, 116, "unknown"
 63, 127,  95, 117, "unknown"
  0,  76,  38, 118, "unknown"
 38,  76,  57, 119, "unknown"
  0, 255, 191, 120, "unknown"
127, 255, 223, 121, "unknown"
  0, 204, 153, 122, "unknown"
102, 204, 178, 123, "unknown"
  0, 153, 114, 124, "unknown"
 76, 153, 133, 125, "unknown"
  0, 127,  95, 126, "unknown"
 63, 127, 111, 127, "unknown"
  0,  76,  57, 128, "unknown"
 38,  76,  66, 129, "unknown"
  0, 255, 255, 130, "unknown"
127, 255, 255, 131, "unknown"
  0, 204, 204, 132, "unknown"
102, 204, 204, 133, "unknown"
  0, 153, 153, 134, "unknown"
 76, 153, 153, 135, "unknown"
  0, 127, 127, 136, "unknown"
 63, 127, 127, 137, "unknown"
  0,  76,  76, 138, "unknown"
 38,  76,  76, 139, "unknown"
  0, 191, 255, 140, "unknown"
127, 223, 255, 141, "unknown"
  0, 153, 204, 142, "unknown"
102, 178, 204, 143, "unknown"
  0, 114, 153, 144, "unknown"
 76, 133, 153, 145, "unknown"
  0,  95, 127, 146, "unknown"
 63, 111, 127, 147, "unknown"
  0,  57,  76, 148, "unknown"
 38,  66,  76, 149, "unknown"
  0, 127, 255, 150, "unknown"
127, 191, 255, 151, "unknown"
  0, 102, 204, 152, "unknown"
102, 153, 204, 153, "unknown"
  0,  76, 153, 154, "unknown"
 76, 114, 153, 155, "unknown"
  0,  63, 127, 156, "unknown"
 63,  95, 127, 157, "unknown"
  0,  38,  76, 158, "unknown"
 38,  57,  76, 159, "unknown"
  0,  63, 255, 160, "unknown"
127, 159, 255, 161, "unknown"
  0,  51, 204, 162, "unknown"
102, 127, 204, 163, "unknown"
  0,  38, 153, 164, "unknown"
 76,  95, 153, 165, "unknown"
  0,  31, 127, 166, "unknown"
 63,  79, 127, 167, "unknown"
  0,  19,  76, 168, "unknown"
 38,  47,  76, 169, "unknown"
  0,   0, 255, 170, "unknown"
127, 127, 255, 171, "unknown"
  0,   0, 204, 172, "unknown"
102, 102, 204, 173, "unknown"
  0,   0, 153, 174, "unknown"
 76,  76, 153, 175, "unknown"
  0,   0, 127, 176, "unknown"
 63,  63, 127, 177, "unknown"
  0,   0,  76, 178, "unknown"
 38,  38,  76, 179, "unknown"
 63,   0, 255, 180, "unknown"
159, 127, 255, 181, "unknown"
 51,   0, 204, 182, "unknown"
127, 102, 204, 183, "unknown"
 38,   0, 153, 184, "unknown"
 95,  76, 153, 185, "unknown"
 31,   0, 127, 186, "unknown"
 79,  63, 127, 187, "unknown"
 19,   0,  76, 188, "unknown"
 47,  38,  76, 189, "unknown"
127,   0, 255, 190, "unknown"
191, 127, 255, 191, "unknown"
102,   0, 204, 192, "unknown"
153, 102, 204, 193, "unknown"
 76,   0, 153, 194, "unknown"
114,  76, 153, 195, "unknown"
 63,   0, 127, 196, "unknown"
 95,  63, 127, 197, "unknown"
 38,   0,  76, 198, "unknown"
 57,  38,  76, 199, "unknown"
191,   0, 255, 200, "unknown"
223, 127, 255, 201, "unknown"
153,   0, 204, 202, "unknown"
178, 102, 204, 203, "unknown"
114,   0, 153, 204, "unknown"
133,  76, 153, 205, "unknown"
 95,   0, 127, 206, "unknown"
111,  63, 127, 207, "unknown"
 57,   0,  76, 208, "unknown"
 66,  38,  76, 209, "unknown"
255,   0, 255, 210, "unknown"
255, 127, 255, 211, "unknown"
204,   0, 204, 212, "unknown"
204, 102, 204, 213, "unknown"
153,   0, 153, 214, "unknown"
153,  76, 153, 215, "unknown"
127,   0, 127, 216, "unknown"
127,  63, 127, 217, "unknown"
 76,   0,  76, 218, "unknown"
 76,  38,  76, 219, "unknown"
255,   0, 191, 220, "unknown"
255, 127, 223, 221, "unknown"
204,   0, 153, 222, "unknown"
204, 102, 178, 223, "unknown"
153,   0, 114, 224, "unknown"
153,  76, 133, 225, "unknown"
127,   0,  95, 226, "unknown"
127,  63, 111, 227, "unknown"
 76,   0,  57, 228, "unknown"
 76,  38,  66, 229, "unknown"
255,   0, 127, 230, "unknown"
255, 127, 191, 231, "unknown"
204,   0, 102, 232, "unknown"
204, 102, 153, 233, "unknown"
153,   0,  76, 234, "unknown"
153,  76, 114, 235, "unknown"
127,   0,  63, 236, "unknown"
127,  63,  95, 237, "unknown"
 76,   0,  38, 238, "unknown"
 76,  38,  57, 239, "unknown"
255,   0,  63, 240, "unknown"
255, 127, 159, 241, "unknown"
204,   0,  51, 242, "unknown"
204, 102, 127, 243, "unknown"
153,   0,  38, 244, "unknown"
153,  76,  95, 245, "unknown"
127,   0,  31, 246, "unknown"
127,  63,  79, 247, "unknown"
 76,   0,  19, 248, "unknown"
 76,  38,  47, 249, "unknown"
 51,  51,  51, 250, "unknown"
 91,  91,  91, 251, "unknown"
132, 132, 132, 252, "unknown"
173, 173, 173, 253, "unknown"
214, 214, 214, 254, "unknown"
255, 255, 255, 255, "unknown"
  0,   0,   0, 256, "BYLAYER"
