element,attribute
?xml,encoding;standalone;version;/
link,about;class;content;datatype;externalResourcesRequired;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;target;transform;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate,about;accumulate;additive;attributeName;attributeType;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keySplines;keyTimes;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;systemLanguage;to;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate color,about;accumulate;additive;attributeName;attributeType;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keySplines;keyTimes;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;systemLanguage;to;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate motion,about;accumulate;additive;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keyPoints;keySplines;keyTimes;max;min;origin;path;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;rotate;systemLanguage;to;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animate transform,about;accumulate;additive;attributeName;attributeType;begin;by;calcMode;class;content;datatype;dur;end;fill;from;id;keySplines;keyTimes;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;systemLanguage;to;type;typeof;values;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
animation,about;begin;class;content;datatype;dur;end;externalResourcesRequired;fill;focusHighlight;focusable;height;id;initialVisibility;max;min;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;preserveAspectRatio;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;syncBehavior;syncMaster;syncTolerance;systemLanguage;transform;typeof;width;x;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;y;/
audio,about;begin;class;content;datatype;dur;end;externalResourcesRequired;fill;id;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;syncBehavior;syncMaster;syncTolerance;systemLanguage;type;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
circle,about;class;content;cx;cy;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;r;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
defs,about;class;content;datatype;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
desc,about;class;content;datatype;id;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xml:base;xml:id;xml:lang;xml:space;/
discard,about;begin;class;content;datatype;id;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
ellipse,about;class;content;cx;cy;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;rx;ry;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
font,about;class;content;datatype;externalResourcesRequired;horiz-adv-x;horiz-origin-x;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
font-face,about;accent-height;alphabetic;ascent;bbox;cap-height;class;content;datatype;descent;externalResourcesRequired;font-family;font-stretch;font-style;font-variant;font-weight;hanging;id;ideographic;mathematical;overline-position;overline-thickness;panose-1;property;rel;resource;rev;role;slope;stemh;stemv;strikethrough-position;strikethrough-thickness;typeof;underline-position;underline-thickness;unicode-range;units-per-em;widths;x-height;xml:base;xml:id;xml:lang;xml:space;/
font-face-src,about;class;content;datatype;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
font-face-uri,about;class;content;datatype;externalResourcesRequired;id;property;rel;resource;rev;role;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
foreign-object,about;class;content;datatype;externalResourcesRequired;focusHighlight;focusable;height;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;width;x;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;y;/
group,about;class;content;datatype;externalResourcesRequired;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
glyph,about;arabic-form;class;content;d;datatype;glyph-name;horiz-adv-x;id;lang;property;rel;resource;rev;role;typeof;unicode;xml:base;xml:id;xml:lang;xml:space;/
handler,about;class;content;datatype;ev:event;externalResourcesRequired;id;property;rel;resource;rev;role;type;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
hkern,about;class;content;datatype;g1;g2;id;k;property;rel;resource;rev;role;typeof;u1;u2;xml:base;xml:id;xml:lang;xml:space;/
image,about;class;content;datatype;externalResourcesRequired;focusHighlight;focusable;height;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;opacity;preserveAspectRatio;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;type;typeof;width;x;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;y;/
line,about;class;content;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;x1;x2;xml:base;xml:id;xml:lang;xml:space;y1;y2;/
linear gradient,about;class;content;datatype;gradientUnits;id;property;rel;resource;rev;role;typeof;x1;x2;xml:base;xml:id;xml:lang;xml:space;y1;y2;/
listener,about;class;content;datatype;defaultAction;event;handler;id;observer;phase;propagate;property;rel;resource;rev;role;target;typeof;xml:base;xml:id;xml:lang;xml:space;/
metadata,about;class;content;datatype;id;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xml:base;xml:id;xml:lang;xml:space;/
missing glyph,about;class;content;d;datatype;horiz-adv-x;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
mpath,about;class;content;datatype;id;property;rel;resource;rev;role;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
path,about;class;content;d;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;pathLength;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
polygon,about;class;content;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;points;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
polyline,about;class;content;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;points;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
prefetch,about;bandwidth;class;content;datatype;id;mediaCharacterEncoding;mediaContentEncodings;mediaSize;mediaTime;property;rel;resource;rev;role;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
radial gradient,about;class;content;cx;cy;datatype;gradientUnits;id;property;r;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
rect,about;class;content;datatype;focusHighlight;focusable;height;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;rx;ry;systemLanguage;transform;typeof;width;x;xml:base;xml:id;xml:lang;xml:space;y;/
script,about;class;content;datatype;externalResourcesRequired;id;property;rel;resource;rev;role;type;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
set,about;attributeName;attributeType;begin;class;content;datatype;dur;end;fill;id;max;min;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;to;typeof;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;/
solid color,about;class;content;datatype;id;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
stop,about;class;content;datatype;id;offset;property;rel;resource;rev;role;typeof;xml:base;xml:id;xml:lang;xml:space;/
svg,about;baseProfile;class;content;contentScriptType;datatype;externalResourcesRequired;focusHighlight;focusable;height;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;playbackOrder;preserveAspectRatio;property;rel;resource;rev;role;snapshotTime;syncBehaviorDefault;syncToleranceDefault;timelineBegin;typeof;version;viewBox;width;xml:base;xml:id;xml:lang;xml:space;zoomAndPan;/
switch,about;class;content;datatype;externalResourcesRequired;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;xml:base;xml:id;xml:lang;xml:space;/
tbreak,about;class;content;datatype;id;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xml:base;xml:id;xml:lang;xml:space;/
text,about;class;content;datatype;editable;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;rotate;systemLanguage;transform;typeof;x;xml:base;xml:id;xml:lang;xml:space;y;/
text area,about;class;content;datatype;editable;focusHighlight;focusable;height;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;width;x;xml:base;xml:id;xml:lang;xml:space;y;/
title,about;class;content;datatype;id;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xml:base;xml:id;xml:lang;xml:space;/
tspan,about;class;content;datatype;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;typeof;xml:base;xml:id;xml:lang;xml:space;/
use,about;class;content;datatype;externalResourcesRequired;focusHighlight;focusable;id;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;property;rel;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;rev;role;systemLanguage;transform;typeof;x;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;y;/
video,about;begin;class;content;datatype;dur;end;externalResourcesRequired;fill;focusHighlight;focusable;height;id;initialVisibility;max;min;nav-down;nav-down-left;nav-down-right;nav-left;nav-next;nav-prev;nav-right;nav-up;nav-up-left;nav-up-right;overlay;preserveAspectRatio;property;rel;repeatCount;repeatDur;requiredExtensions;requiredFeatures;requiredFonts;requiredFormats;resource;restart;rev;role;syncBehavior;syncMaster;syncTolerance;systemLanguage;transform;transformBehavior;type;typeof;width;x;xlink:actuate;xlink:arcrole;xlink:href;xlink:role;xlink:show;xlink:title;xlink:type;xml:base;xml:id;xml:lang;xml:space;y;/
svg-element,?xml;a;animate;animateColor;animateMotion;animateTransform;animation;audio;circle;defs;desc;discard;ellipse;font;font-face;font-face-src;font-face-uri;foreignObject;g;glyph;handler;hkern;image;line;linearGradient;listener;metadata;missing-glyph;mpath;path;polygon;polyline;prefetch;radialGradient;rect;script;set;solidColor;stop;svg;switch;tbreak;text;textArea;title;tspan;use;video
svg-element-1-1,altGlyph;altGlyphDef;altGlyphItem;clipPath;color-profile;cursor;feBlend;feColorMatrix;feComponentTransfer;feComposite;feConvolveMatrix;feDiffuseLighting;feDisplacementMap;feDistantLight;feFlood;feFuncA;feFuncB;feFuncG;feFuncR;feGaussianBlur;feImage;feMerge;feMergeNode;feMorphology;feOffset;fePointLight;feSpecularLighting;feSpotLight;feTile;feTurbulence;filter;font-face-format;font-face-name;glyphRef;marker;mask;pattern;style;symbol;textPath;tref;view;vkern
svg-media-property,audio-level;buffered-rendering;display;image-rendering;pointer-events;shape-rendering;text-rendering;viewport-fill;viewport-fill-opacity;visibility
svg-property,audio-level;buffered-rendering;color;color-rendering;direction;display;display-align;fill;fill-opacity;fill-rule;font-family;font-size;font-style;font-variant;font-weight;image-rendering;line-increment;opacity;pointer-events;shape-rendering;solid-color;solid-opacity;stop-color;stop-opacity;stroke;stroke-dasharray;stroke-linecap;stroke-linejoin;stroke-miterlimit;stroke-opacity;stroke-width;text-align;text-anchor;text-rendering;unicode-bidi;vector-effect;viewport-fill;viewport-fill-opacity;visibility
